student_id,origin_country,destination_country,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S00001,Finland,Russia,Lomonosov Moscow State University,Computer Science,Engineering,2021,No,Higher Ranking,2024,Placed,Russia,Microsoft,36416,3.92,Tier 4,Work Permit,TOEFL,7.8
S00002,UK,Germany,RWTH Aachen,Civil Engineering,Law,2023,Yes,Job Opportunities,2024,Placed,Germany,Google,32956,2.6,Study Permit,OPT,PTE,7.9
S00003,Ireland,UAE,Heriot-Watt Durai,Design,,2019,,,2021,Not Plaaced,,,0,3.9,Tier 4,PSW,TOEFL,7.9
S00004,Ireland,Canada,University of British Columbia,Law,Arts,2019,No,Scholarship,2020,Not Placed,,,0,2.72,F1,Blue Card,,0
S00005,UAE,UK,University of Birmingham,Data Science,Social Sciences,2021,Yes,Quality of Life,2023,Placed,UK,Apple,50892,3.71,Schengen Student Visa,PSW,,0
S00006,South Africa,Germany,University of Stuttgart,Business Administration,Law,2020,Yes,Political Stability,2021,Placed,Germany,IBM,54790,2.96,Schengen Student Visa,OPT,PTE,8.2
S00007,UAE,South Africa,University of Pretoria,Mechanical Engineering,Engineering,2022,Yes,Job Opportunities,2023,Not Placed,,,0,2.69,J1,Blue Card,TOEFL,7.4
S00008,UAE,UK,University of Edinburgh,Architecture,Law,2019,Yes,Quality of Life,2021,Not Placed,,,0,2.99,Study Permit,Blue Card,Duolingo,5.6
S00009,UAE,UK,University of Cambridge,Finance,Law,2023,No,Job Opportunities,2024,Placed,UK,Facebook,98247,3.53,Student Visa,Work Permit,IELTS,5.4
S00010,India,Russia,Higher School of Economics,Economics,Business,2021,Yes,Higher Ranking,2024,Placed,Russia,McKinsey,118106,3.2,Student Visa,Work Permit,,0
S00011,Germany,India,IIT Bombay,Data Science,Business,2023,No,Quality of Life,2025,Placed,India,Microsoft,78324,2.65,J1,Post-Study Visa,,0
S00012,South Africa,UAE,University of Dubai,Data Science,Arts,2023,No,Higher Ranking,2026,Not Placed,,,0,3.02,Schengen Student Visa,Blue Card,,0
